alpha,aupr
0.0,0.4223856209150327
0.05,0.43858932461873634
0.1,0.4300194931773879
0.15,0.452281746031746
0.2,0.1747812372812373
0.25,0.17966524216524216
0.3,0.17966524216524216
0.35,0.15744301994301996
0.4,0.1631734006734007
0.45,0.1631734006734007
0.5,0.1631734006734007
0.55,0.1576178451178451
0.6,0.15364959114959115
0.65,0.1574915824915825
0.7,0.1574915824915825
0.75,0.1574915824915825
0.8,0.15147306397306398
0.85,0.15147306397306398
0.9,0.15147306397306398
0.95,0.15147306397306398
1.0,0.14915824915824916
