alpha,aupr
0.0,0.6980056980056979
0.05,0.6980056980056979
0.1,0.7035573122529644
0.15,0.7386363636363635
0.2,0.7638888888888888
0.25,0.7936507936507937
0.3,0.8166666666666667
0.35,0.9027777777777777
0.4,0.9027777777777777
0.45,0.9027777777777777
0.5,0.9027777777777777
0.55,0.9027777777777777
0.6,0.9027777777777777
0.65,0.9027777777777777
0.7,0.9027777777777777
0.75,0.9027777777777777
0.8,0.9027777777777777
0.85,0.9027777777777777
0.9,0.9027777777777777
0.95,0.9027777777777777
1.0,0.9027777777777777
